               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.041068,             0.01574,            0.050068,             0.13487,             0.56647,             0.21004,             0.12524,            0.050312,           0.0056086,            0.046645,           0.0096535,           0.0096535,           0.0096535
                  37,            0.043073,            0.016626,            0.049356,             0.16246,             0.56633,             0.27194,             0.15504,            0.054919,           0.0049498,            0.044797,           0.0096436,           0.0096436,           0.0096436
                  38,            0.039392,            0.016452,            0.050626,             0.19409,             0.55778,             0.27694,             0.15633,            0.047579,           0.0052137,            0.044839,           0.0096337,           0.0096337,           0.0096337
                  39,            0.038702,            0.014264,            0.048009,             0.20373,             0.55041,             0.27733,             0.14822,            0.050894,           0.0051336,            0.043504,           0.0096238,           0.0096238,           0.0096238
                  40,            0.037793,            0.015879,            0.048774,             0.19445,             0.55754,              0.2882,             0.16286,            0.047229,           0.0050762,            0.043584,           0.0096139,           0.0096139,           0.0096139
                  41,             0.03819,            0.015229,            0.047978,             0.35774,             0.39257,             0.27951,             0.13198,             0.04973,            0.005322,            0.044273,            0.009604,            0.009604,            0.009604
                  42,            0.035621,            0.015954,            0.050242,              0.2207,             0.37619,             0.29305,             0.17675,            0.047723,           0.0052128,            0.044402,           0.0095941,           0.0095941,           0.0095941
                  43,              0.0339,            0.015273,            0.047208,             0.26301,             0.39504,              0.3068,              0.2071,            0.045737,           0.0051594,            0.043531,           0.0095842,           0.0095842,           0.0095842
                  44,            0.035543,             0.01694,            0.047072,             0.20042,             0.47044,             0.28959,             0.19504,            0.045975,           0.0053267,             0.04595,           0.0095743,           0.0095743,           0.0095743
                  45,            0.034761,            0.013731,            0.047733,             0.31965,             0.38855,             0.32283,             0.21155,            0.046214,           0.0056841,             0.04798,           0.0095644,           0.0095644,           0.0095644
                  46,            0.036174,            0.013104,            0.045486,             0.36258,             0.41694,             0.29042,             0.16875,            0.052574,           0.0057106,            0.049144,           0.0095545,           0.0095545,           0.0095545
                  47,            0.035098,            0.016371,            0.044164,             0.41897,             0.39792,             0.33864,             0.21217,            0.048883,           0.0054994,            0.050981,           0.0095446,           0.0095446,           0.0095446
                  48,            0.032668,            0.012501,            0.043633,             0.41827,             0.41153,             0.36697,             0.24759,            0.046239,           0.0052814,            0.052284,           0.0095347,           0.0095347,           0.0095347
                  49,            0.034305,             0.01362,            0.042076,             0.37607,                 0.4,             0.40959,             0.27448,            0.048457,           0.0049744,            0.051707,           0.0095248,           0.0095248,           0.0095248
                  50,            0.033766,            0.013691,              0.0412,             0.18333,             0.54927,             0.25749,             0.15433,            0.053594,           0.0051692,             0.05144,           0.0095149,           0.0095149,           0.0095149
                  51,            0.034264,            0.012563,             0.03929,             0.32071,             0.38671,             0.33847,             0.21964,            0.045679,           0.0054524,            0.051173,            0.009505,            0.009505,            0.009505
                  52,             0.03279,            0.013289,            0.039671,             0.36792,             0.43634,             0.34843,             0.18116,            0.050668,            0.005456,            0.049646,           0.0094951,           0.0094951,           0.0094951
                  53,             0.03335,             0.01252,            0.040641,             0.38354,             0.45497,             0.38275,             0.25541,            0.043015,           0.0052097,            0.051163,           0.0094852,           0.0094852,           0.0094852
                  54,            0.034253,            0.014491,             0.03921,             0.34892,             0.53993,             0.43369,             0.29952,            0.042293,           0.0049312,            0.050725,           0.0094753,           0.0094753,           0.0094753
                  55,            0.032935,            0.013626,            0.038842,             0.42415,             0.42105,             0.40286,             0.26726,            0.041672,           0.0049374,             0.04735,           0.0094654,           0.0094654,           0.0094654
                  56,            0.031979,            0.013435,            0.037215,             0.33921,             0.39365,              0.3975,             0.26309,            0.041758,           0.0049884,            0.046249,           0.0094555,           0.0094555,           0.0094555
                  57,            0.031831,            0.012898,             0.03404,              0.2774,             0.46972,              0.3615,             0.21498,            0.043633,           0.0049236,             0.04799,           0.0094456,           0.0094456,           0.0094456
                  58,            0.031522,            0.012239,            0.038927,             0.33931,             0.38554,             0.36458,             0.22075,            0.040058,           0.0051353,             0.05128,           0.0094357,           0.0094357,           0.0094357
                  59,            0.031708,            0.013507,            0.035664,             0.34891,             0.40151,             0.36752,             0.23209,            0.041357,           0.0053132,             0.05033,           0.0094258,           0.0094258,           0.0094258
                  60,            0.030133,            0.012548,            0.040263,             0.32183,             0.41113,             0.35905,             0.24379,            0.040867,           0.0053487,            0.046324,           0.0094159,           0.0094159,           0.0094159
                  61,            0.031777,            0.014201,            0.034701,             0.30413,             0.43799,             0.35955,             0.21265,            0.040377,           0.0053504,            0.048439,            0.009406,            0.009406,            0.009406
                  62,            0.032705,             0.01272,            0.031301,             0.37602,             0.41631,             0.42109,             0.25379,            0.042059,           0.0054345,            0.048311,           0.0093961,           0.0093961,           0.0093961
                  63,            0.031838,            0.013618,            0.031634,             0.35268,             0.43611,             0.38068,             0.22661,            0.044999,           0.0051677,            0.042361,           0.0093862,           0.0093862,           0.0093862
                  64,            0.031657,            0.014021,            0.033755,             0.33003,             0.48671,              0.3927,               0.232,            0.039056,            0.005481,            0.052541,           0.0093763,           0.0093763,           0.0093763
                  65,            0.030066,            0.011493,            0.029347,             0.44188,             0.46647,             0.39637,             0.27989,            0.036761,           0.0054274,            0.053117,           0.0093664,           0.0093664,           0.0093664
                  66,             0.03187,            0.012573,            0.028858,             0.44506,             0.39198,             0.35451,             0.26626,             0.03911,           0.0052776,             0.05457,           0.0093565,           0.0093565,           0.0093565
                  67,            0.030946,            0.011688,            0.032301,             0.46588,             0.38912,             0.41832,             0.24627,            0.039695,           0.0054433,             0.04893,           0.0093466,           0.0093466,           0.0093466
                  68,            0.032759,            0.013285,            0.028766,             0.37413,             0.37597,             0.39971,             0.24493,             0.04304,           0.0055048,            0.046474,           0.0093367,           0.0093367,           0.0093367
                  69,            0.031357,            0.012689,            0.030712,             0.30848,             0.46964,             0.39576,             0.24466,              0.0462,           0.0054507,            0.045758,           0.0093268,           0.0093268,           0.0093268
                  70,            0.033511,            0.013804,            0.028514,             0.42614,             0.40615,             0.43225,             0.29476,            0.046706,           0.0056736,            0.054741,           0.0093169,           0.0093169,           0.0093169
                  71,            0.031403,            0.011421,            0.028007,             0.45639,             0.43651,             0.42866,             0.27906,            0.046954,           0.0056522,            0.055457,            0.009307,            0.009307,            0.009307
                  72,            0.033145,            0.012331,            0.027717,             0.42282,             0.43758,             0.42913,               0.267,            0.045888,            0.005595,            0.051707,           0.0092971,           0.0092971,           0.0092971
                  73,             0.03049,            0.012731,            0.027369,              0.4017,             0.43516,             0.42931,             0.28031,            0.048309,           0.0056632,            0.053566,           0.0092872,           0.0092872,           0.0092872
                  74,            0.031454,             0.01321,            0.027191,             0.50489,             0.39221,             0.44062,             0.27669,             0.04914,           0.0055816,            0.053203,           0.0092773,           0.0092773,           0.0092773
                  75,            0.032241,            0.012648,            0.023907,             0.51537,             0.48512,             0.51777,             0.30798,            0.046467,           0.0054266,            0.041144,           0.0092674,           0.0092674,           0.0092674
                  76,            0.030491,            0.012786,            0.025573,             0.35289,              0.4984,             0.39292,             0.27973,            0.043863,           0.0052867,            0.050468,           0.0092575,           0.0092575,           0.0092575
                  77,             0.03019,            0.013537,            0.024655,             0.57367,             0.37654,             0.46741,             0.37405,            0.040576,           0.0050194,            0.055713,           0.0092476,           0.0092476,           0.0092476
                  78,            0.029536,            0.012476,            0.031787,             0.27092,             0.38341,             0.34719,             0.23465,            0.046714,           0.0052419,            0.059259,           0.0092377,           0.0092377,           0.0092377
                  79,             0.02945,            0.014173,            0.022753,             0.48044,             0.33702,             0.41451,             0.28917,            0.047408,           0.0053673,            0.057721,           0.0092278,           0.0092278,           0.0092278
                  80,            0.029817,            0.012083,            0.028073,             0.39348,             0.46625,             0.42782,             0.29493,            0.046356,           0.0051668,            0.046249,           0.0092179,           0.0092179,           0.0092179
                  81,             0.02802,            0.012192,             0.02326,             0.37052,             0.46614,              0.4224,             0.23148,            0.049979,           0.0053649,            0.054132,            0.009208,            0.009208,            0.009208
                  82,            0.030291,            0.014444,            0.023007,             0.46925,             0.41827,             0.43285,             0.30671,            0.040543,            0.005868,            0.053555,           0.0091981,           0.0091981,           0.0091981
                  83,            0.028054,            0.012754,            0.023699,              0.4651,             0.34321,             0.40768,             0.29016,            0.040498,           0.0057001,            0.051312,           0.0091882,           0.0091882,           0.0091882
                  84,            0.028693,            0.011419,            0.021668,              0.4521,             0.41204,             0.40807,             0.28296,            0.041181,            0.005805,            0.051302,           0.0091783,           0.0091783,           0.0091783
                  85,            0.029308,            0.012627,             0.02117,             0.36128,             0.43397,             0.39179,             0.28019,            0.042282,            0.005784,            0.051131,           0.0091684,           0.0091684,           0.0091684
                  86,            0.029323,            0.011048,            0.022585,             0.37456,             0.49713,             0.43378,             0.31104,            0.040295,            0.005594,            0.050746,           0.0091585,           0.0091585,           0.0091585
                  87,            0.029847,            0.012739,            0.018862,             0.64332,             0.39896,              0.4759,             0.32423,            0.042225,           0.0053749,            0.050298,           0.0091486,           0.0091486,           0.0091486
                  88,            0.030065,             0.01308,            0.023153,              0.4894,             0.44813,             0.44135,              0.3248,            0.037564,           0.0054839,            0.052647,           0.0091387,           0.0091387,           0.0091387
                  89,            0.028082,            0.011445,             0.02455,             0.44534,              0.3489,             0.39948,             0.24818,             0.04545,           0.0055213,            0.058319,           0.0091288,           0.0091288,           0.0091288
                  90,            0.029389,            0.011492,            0.020511,             0.30556,             0.38801,             0.38195,             0.26333,            0.044127,           0.0054493,            0.057967,           0.0091189,           0.0091189,           0.0091189
                  91,            0.029131,            0.012035,             0.02439,             0.39199,             0.38244,             0.39914,             0.27166,            0.041984,           0.0054061,            0.059131,            0.009109,            0.009109,            0.009109
                  92,             0.02918,            0.012214,            0.022456,             0.52478,             0.38168,             0.46326,             0.33557,            0.042576,           0.0056036,            0.061427,           0.0090991,           0.0090991,           0.0090991
                  93,            0.028638,            0.012464,            0.021027,             0.61038,             0.35455,             0.44628,             0.32334,            0.041163,           0.0055101,            0.058202,           0.0090892,           0.0090892,           0.0090892
                  94,             0.02875,            0.012075,            0.019984,             0.40835,              0.4812,             0.46814,             0.33975,            0.041066,           0.0055892,            0.060103,           0.0090793,           0.0090793,           0.0090793
                  95,            0.029077,            0.012922,            0.020289,             0.47262,             0.44788,             0.45294,             0.29837,            0.045397,           0.0058014,             0.05723,           0.0090694,           0.0090694,           0.0090694
                  96,            0.029665,            0.011538,            0.019753,             0.52762,             0.37769,             0.40271,             0.28643,            0.043128,           0.0058503,            0.056557,           0.0090595,           0.0090595,           0.0090595
