                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                    101,               0.029576,               0.018492,               0.013296,               0.030915,                0.29221,                0.44392,                0.34393,                0.21869,                  0.295,                0.43397,                0.35091,                0.24779,               0.047043,               0.031285,              0.0065095,               0.045854,                0.00901,                0.00901,                0.00901
                    102,                0.03052,                0.01865,                0.01176,               0.032749,                0.25028,                 0.3894,                0.30889,                0.19091,                0.24823,                0.38345,                0.31178,                0.20517,               0.047575,               0.028128,              0.0068111,                  0.049,              0.0090001,              0.0090001,              0.0090001
                    103,               0.033046,               0.019234,               0.012406,               0.033421,                0.32626,                 0.4724,                0.38244,                0.22924,                0.30282,                 0.5506,                0.39035,                0.27898,               0.044062,               0.022444,              0.0063787,               0.042164,              0.0089902,              0.0089902,              0.0089902
                    104,               0.032471,               0.017393,               0.012907,               0.032325,                0.27567,                0.50788,                0.36346,                0.23601,                0.27999,                0.51878,                0.36656,                0.26207,               0.046883,               0.025741,              0.0061953,               0.043579,              0.0089803,              0.0089803,              0.0089803
                    105,               0.032729,               0.017053,               0.010898,               0.034812,                 0.3397,                0.63471,                0.47041,                0.29834,                  0.342,                0.65189,                0.46713,                0.36006,                0.04683,               0.022942,              0.0062473,               0.038084,              0.0089704,              0.0089704,              0.0089704
                    106,               0.031226,               0.017326,               0.012286,               0.028315,                0.41679,                0.53791,                0.50687,                0.33893,                0.41679,                0.53791,                0.50672,                0.39766,                0.04579,               0.022828,                  0.006,               0.042297,              0.0089605,              0.0089605,              0.0089605
                    107,               0.030426,               0.016957,               0.013626,               0.029347,                0.42325,                0.41524,                0.37458,                0.23462,                0.42325,                0.41524,                0.37214,                0.26991,               0.045532,               0.023006,              0.0057006,               0.048813,              0.0089506,              0.0089506,              0.0089506
                    108,               0.033881,               0.022458,               0.012909,               0.030658,                0.43255,                0.46087,                0.46661,                0.32246,                0.42584,                0.44658,                0.45315,                0.35772,               0.041377,               0.025079,              0.0055325,               0.041881,              0.0089407,              0.0089407,              0.0089407
                    109,               0.030632,               0.017328,               0.013027,               0.033055,                0.42157,                0.48273,                0.42962,                0.29145,                0.38902,                0.51782,                0.43027,                0.32014,               0.045559,               0.026627,              0.0054593,               0.045139,              0.0089308,              0.0089308,              0.0089308
                    110,               0.031953,               0.017246,               0.012007,               0.026877,                0.26607,                0.49954,                0.32244,                0.23193,                  0.272,                0.51144,                0.32965,                0.25297,               0.046377,               0.024981,              0.0058627,               0.052434,              0.0089209,              0.0089209,              0.0089209
                    111,               0.028828,                0.01803,               0.011955,               0.028185,                 0.3475,                0.44306,                0.36569,                0.24963,                0.36149,                0.45496,                0.37533,                0.27964,               0.049317,               0.024802,              0.0057898,               0.049187,               0.008911,               0.008911,               0.008911
                    112,                0.02894,               0.019374,               0.013678,               0.026305,                0.57993,                0.39264,                0.40284,                0.24619,                0.58405,                0.39772,                0.40175,                0.28325,               0.044235,               0.026324,              0.0057256,               0.041961,              0.0089011,              0.0089011,              0.0089011
                    113,               0.031729,               0.017516,               0.011323,               0.034429,                0.42126,                0.36622,                0.34499,                0.18906,                0.42126,                0.36622,                0.34858,                0.22416,               0.049361,               0.027711,              0.0063677,               0.045037,              0.0088912,              0.0088912,              0.0088912
                    114,               0.031127,               0.017421,                0.01335,               0.028061,                0.36545,                0.48743,                0.37987,                0.21931,                0.36545,                0.48743,                0.37593,                0.27371,               0.048451,               0.021466,              0.0058086,               0.043205,              0.0088813,              0.0088813,              0.0088813
                    115,               0.032597,               0.020436,               0.012945,               0.029161,                0.50687,                0.47282,                0.46178,                0.28154,                0.52145,                0.48472,                0.45963,                 0.3373,               0.047301,               0.020368,              0.0060377,               0.036508,              0.0088714,              0.0088714,              0.0088714
                    116,               0.032269,               0.017772,               0.012941,               0.032282,                0.41513,                 0.5461,                0.45687,                 0.2717,                0.40834,                0.53898,                0.44825,                0.32071,               0.041719,               0.020356,              0.0055287,               0.042121,              0.0088615,              0.0088615,              0.0088615
                    117,               0.031938,               0.017123,               0.011748,               0.028723,                0.44956,                 0.4875,                0.45201,                0.29189,                0.42252,                0.47321,                0.42816,                0.32839,               0.042983,               0.020536,              0.0052552,               0.042159,              0.0088516,              0.0088516,              0.0088516
                    118,               0.028856,               0.016513,               0.010253,                0.03129,                0.21058,                0.38333,                0.30395,                0.20679,                0.32352,                0.38754,                0.31882,                0.23203,               0.042832,               0.021144,              0.0056272,               0.053683,              0.0088417,              0.0088417,              0.0088417
                    119,               0.028525,               0.016274,               0.011341,               0.024603,                0.18018,                0.42426,                0.25643,                0.14478,                  0.175,                0.41489,                0.25114,                 0.1768,               0.050353,               0.021576,              0.0065274,               0.060503,              0.0088318,              0.0088318,              0.0088318
                    120,               0.031977,               0.018717,               0.012769,               0.029592,                0.35327,                0.36517,                 0.3705,                 0.2459,                0.35327,                0.36517,                0.36391,                0.27276,               0.046516,               0.021465,              0.0058277,               0.044273,              0.0088219,              0.0088219,              0.0088219
                    121,               0.028977,               0.020601,               0.014296,               0.028044,                0.30035,                0.52045,                0.42589,                0.25001,                 0.3012,                0.51975,                0.42989,                 0.2952,               0.049833,                0.02211,              0.0057139,               0.040615,               0.008812,               0.008812,               0.008812
                    122,               0.029601,               0.017903,               0.012451,               0.030448,                0.32285,                0.50218,                0.37495,                0.20268,                0.33031,                0.49613,                0.36466,                0.24637,               0.048988,               0.027304,              0.0073891,               0.043045,              0.0088021,              0.0088021,              0.0088021
                    123,               0.030125,               0.018542,               0.012336,               0.024608,                  0.686,                0.26179,                0.32442,                0.19285,                0.59193,                0.33736,                0.32835,                0.22049,               0.050757,               0.026132,              0.0070372,               0.054175,              0.0087922,              0.0087922,              0.0087922
                    124,               0.031259,               0.020427,               0.012562,               0.024453,                0.55611,                0.36419,                0.44181,                 0.2485,                0.55611,                0.36419,                0.44126,                0.30808,               0.043311,               0.019869,              0.0066032,               0.044765,              0.0087823,              0.0087823,              0.0087823
                    125,               0.029423,               0.022253,               0.012735,               0.021877,                0.65665,                0.27495,                0.33456,                0.21544,                 0.6628,                0.28079,                 0.3068,                0.22671,               0.044396,               0.020287,              0.0064831,               0.054912,              0.0087724,              0.0087724,              0.0087724
                    126,               0.032063,                0.01858,               0.011788,                0.02313,                0.22842,                0.48099,                0.32414,                0.18977,                 0.2309,                0.46135,                0.31499,                0.21777,               0.044742,               0.021351,              0.0063016,               0.057497,              0.0087625,              0.0087625,              0.0087625
                    127,               0.030638,               0.021594,               0.013512,               0.025706,                0.56762,                0.43064,                0.43981,                0.31025,                0.63396,                0.36109,                0.43028,                0.33855,               0.043048,                0.01913,              0.0053813,               0.042607,              0.0087526,              0.0087526,              0.0087526
                    128,               0.029566,                0.01767,               0.012117,               0.023214,                 0.5311,                0.47343,                0.52283,                0.35186,                0.45174,                0.54635,                0.50708,                 0.3864,               0.042134,               0.020099,              0.0055273,               0.040919,              0.0087427,              0.0087427,              0.0087427
                    129,               0.031157,               0.019365,               0.014741,               0.023968,                0.52885,                0.44594,                0.48973,                0.34244,                0.52885,                0.44594,                0.49773,                0.37418,               0.043901,               0.021422,              0.0054541,               0.047243,              0.0087328,              0.0087328,              0.0087328
                    130,               0.030244,               0.018304,                0.01336,               0.025932,                0.56495,                0.37289,                0.38242,                0.27854,                0.56495,                0.37289,                0.37726,                0.27617,                0.04221,               0.023715,              0.0059965,               0.050164,              0.0087229,              0.0087229,              0.0087229
                    131,               0.028705,               0.018185,               0.012225,               0.025957,                0.51735,                0.39371,                0.41723,                0.26652,                 0.4973,                0.38547,                0.39057,                0.28739,               0.044468,               0.029977,              0.0063052,               0.047131,               0.008713,               0.008713,               0.008713
                    132,               0.031235,               0.019896,               0.013165,               0.026635,                0.58098,                0.42743,                0.44637,                0.33619,                0.56802,                 0.4185,                0.43285,                0.34423,               0.037343,                0.02116,               0.005599,               0.049422,              0.0087031,              0.0087031,              0.0087031
                    133,               0.029015,               0.017488,               0.011661,               0.021561,                0.43871,                0.45675,                0.44157,                 0.3008,                0.60306,                0.36548,                0.43125,                0.32293,               0.041368,               0.021506,              0.0053999,               0.049721,              0.0086932,              0.0086932,              0.0086932
                    134,                0.02965,               0.015888,               0.011155,                0.02053,                0.52347,                0.41389,                0.44728,                0.31077,                0.52347,                0.41389,                0.44787,                0.34879,                0.03984,               0.021051,              0.0059032,               0.047734,              0.0086833,              0.0086833,              0.0086833
                    135,               0.032121,                0.01998,               0.012869,               0.025705,                0.44373,                0.55992,                0.46049,                0.30412,                0.43369,                0.55271,                0.44501,                0.33904,               0.040079,               0.020799,              0.0055807,               0.046132,              0.0086734,              0.0086734,              0.0086734
                    136,                0.03089,                0.02134,               0.012202,               0.022354,                0.43413,                0.49138,                0.50497,                0.34299,                0.43413,                0.49138,                0.50345,                0.38083,               0.041193,               0.020982,              0.0055554,               0.044754,              0.0086635,              0.0086635,              0.0086635
                    137,               0.029058,               0.016381,               0.011242,               0.019115,                0.53341,                0.40641,                0.47082,                0.35065,                0.52394,                0.38915,                0.46708,                0.36893,               0.040505,               0.022262,              0.0057137,               0.049048,              0.0086536,              0.0086536,              0.0086536
                    138,               0.029112,               0.017825,               0.011379,               0.022525,                0.52099,                0.37232,                0.42668,                0.29455,                0.52099,                0.37232,                0.42402,                0.31908,               0.040133,               0.021651,              0.0056536,               0.049197,              0.0086437,              0.0086437,              0.0086437
                    139,               0.028983,               0.018561,               0.011806,               0.020742,                0.48247,                 0.3816,                0.42575,                0.30453,                0.48247,                 0.3816,                0.42477,                0.31074,               0.038293,               0.023839,              0.0058417,               0.050554,              0.0086338,              0.0086338,              0.0086338
                    140,               0.031285,               0.018745,               0.013575,               0.022238,                0.45432,                0.30978,                0.37847,                0.28233,                0.45432,                0.30978,                0.37632,                 0.2817,               0.041106,               0.021748,              0.0057886,               0.054057,              0.0086239,              0.0086239,              0.0086239
                    141,               0.031752,               0.017638,               0.011636,               0.026889,                 0.4366,                0.41158,                0.42559,                0.31829,                 0.4366,                0.41158,                0.41997,                 0.3145,               0.039861,               0.023997,              0.0053043,               0.054976,               0.008614,               0.008614,               0.008614
                    142,               0.028666,               0.018645,               0.012421,               0.020183,                0.36685,                 0.3579,                0.34474,                0.24272,                0.36685,                 0.3579,                0.33992,                0.25663,               0.043679,               0.023659,              0.0057924,               0.065475,              0.0086041,              0.0086041,              0.0086041
                    143,               0.031977,               0.017076,                0.01223,               0.023918,                0.37277,                0.42773,                0.36202,                0.24354,                0.37147,                0.41575,                 0.3539,                0.25935,               0.039749,               0.023511,              0.0053713,               0.065828,              0.0085942,              0.0085942,              0.0085942
                    144,               0.029927,               0.018642,               0.011981,               0.020901,                0.35775,                0.45139,                0.36261,                0.24947,                0.32428,                0.41878,                 0.3517,                0.25772,               0.042337,               0.023735,              0.0056543,               0.067975,              0.0085843,              0.0085843,              0.0085843
                    145,               0.031193,               0.019583,               0.012705,               0.027238,                0.48064,                0.44488,                0.39888,                0.25819,                0.49337,                0.44484,                0.39288,                0.25602,               0.047121,               0.023769,               0.005409,               0.059494,              0.0085744,              0.0085744,              0.0085744
                    146,               0.029218,               0.018723,               0.012838,               0.018044,                0.46502,                 0.4916,                0.38888,                0.26989,                0.49031,                0.49985,                0.39827,                0.26693,               0.041734,               0.025472,              0.0054483,                0.05817,              0.0085645,              0.0085645,              0.0085645
                    147,               0.028975,               0.016537,               0.011876,               0.016163,                0.35639,                0.42204,                0.34287,                0.23033,                0.46931,                0.39752,                0.33836,                0.23471,               0.044822,               0.026892,              0.0053031,               0.065102,              0.0085546,              0.0085546,              0.0085546
                    148,               0.029399,               0.015738,                0.01177,               0.022071,                0.66857,                0.30313,                0.33709,                0.21542,                0.67296,                0.30901,                0.33387,                0.22544,               0.048264,               0.022226,              0.0055864,               0.058928,              0.0085447,              0.0085447,              0.0085447
                    149,               0.029717,               0.019577,               0.012961,               0.023294,                0.40316,                0.30119,                0.29883,                0.18991,                0.40587,                0.30119,                0.29369,                  0.187,               0.043188,               0.026918,              0.0063043,               0.059307,              0.0085348,              0.0085348,              0.0085348
                    150,               0.027826,               0.016443,               0.011888,               0.019813,                0.48766,                0.30536,                0.31922,                0.21938,                0.48539,                 0.2994,                0.30915,                0.21689,               0.041505,               0.029864,              0.0064297,               0.057689,              0.0085249,              0.0085249,              0.0085249
                    151,               0.030447,               0.017132,               0.012292,               0.018605,                0.50298,                0.35337,                0.44917,                0.31132,                0.50298,                0.35337,                0.44712,                0.33162,               0.042633,               0.027311,                0.00565,               0.049945,               0.008515,               0.008515,               0.008515
                    152,               0.028806,               0.016018,               0.011945,                0.01822,                0.33793,                 0.4859,                0.46256,                0.30758,                0.33673,                0.48173,                0.45663,                 0.3365,               0.044705,               0.026797,              0.0054529,               0.051707,              0.0085051,              0.0085051,              0.0085051
                    153,               0.030233,               0.015212,               0.010883,               0.020386,                0.47038,                 0.4704,                0.43408,                0.31096,                0.47038,                 0.4704,                0.43194,                0.32324,               0.043094,               0.026076,              0.0056434,                0.06461,              0.0084952,              0.0084952,              0.0084952
                    154,               0.026283,               0.014644,                0.01121,               0.023183,                 0.3785,                0.53816,                 0.4168,                 0.3022,                0.36563,                0.42629,                0.39074,                0.30805,               0.045677,               0.025242,              0.0059848,               0.056087,              0.0084853,              0.0084853,              0.0084853
                    155,               0.029656,               0.017013,               0.011958,               0.022909,                0.32603,                0.51834,                0.41281,                 0.2944,                0.30371,                0.44498,                0.37857,                0.30004,               0.044176,                 0.0237,              0.0064073,               0.053876,              0.0084754,              0.0084754,              0.0084754
                    156,               0.026408,               0.014809,               0.011164,               0.019913,                0.39602,                 0.4437,                0.39766,                0.29211,                0.37662,                0.43532,                0.38638,                0.29497,               0.044388,               0.024992,              0.0057111,               0.062346,              0.0084655,              0.0084655,              0.0084655
                    157,               0.026991,               0.016267,                 0.0118,               0.021351,                0.50015,                0.42511,                0.45532,                0.34627,                0.38934,                0.55836,                0.44246,                0.34833,               0.039999,               0.020091,              0.0057218,               0.049261,              0.0084556,              0.0084556,              0.0084556
                    158,               0.030574,               0.015657,               0.010509,               0.023295,                0.45341,                0.48139,                0.38916,                0.29205,                0.43192,                 0.4758,                0.37074,                0.27532,               0.043881,               0.026098,              0.0059576,               0.053598,              0.0084457,              0.0084457,              0.0084457
                    159,               0.026303,               0.015717,               0.011969,               0.018804,                0.47204,                0.29394,                  0.321,                0.21506,                0.47204,                0.29394,                0.30579,                0.22706,               0.046002,               0.025734,              0.0066893,                0.05975,              0.0084358,              0.0084358,              0.0084358
                    160,               0.026358,               0.014678,               0.011579,               0.019847,                0.41711,                0.37218,                  0.372,                0.26553,                0.41711,                0.37218,                0.35752,                0.27425,               0.041458,               0.025331,              0.0057025,               0.063521,              0.0084259,              0.0084259,              0.0084259
                    161,               0.027243,               0.014765,              0.0099112,               0.015246,                0.59614,                0.38697,                0.46375,                 0.3416,                0.57615,                0.37804,                  0.448,                0.35013,               0.040722,               0.023216,              0.0055809,               0.050351,               0.008416,               0.008416,               0.008416
                    162,               0.026982,                0.01688,               0.012396,               0.017116,                0.46185,                0.37306,                 0.4317,                0.32036,                  0.443,                0.36429,                0.40364,                0.30911,               0.039283,               0.024538,              0.0053966,               0.048535,              0.0084061,              0.0084061,              0.0084061
                    163,               0.027388,               0.017841,               0.012233,               0.022275,                0.32058,                0.48475,                0.38528,                0.27792,                0.34184,                  0.381,                0.35474,                0.27863,               0.040789,               0.025709,              0.0053754,               0.058821,              0.0083962,              0.0083962,              0.0083962
                    164,               0.028122,               0.021852,               0.012125,               0.016806,                0.62151,                0.39587,                0.44123,                0.31607,                0.59172,                0.38591,                0.42249,                0.33486,               0.042905,               0.023258,              0.0050066,                0.04908,              0.0083863,              0.0083863,              0.0083863
                    165,               0.029264,               0.018717,               0.012002,               0.018246,                0.33898,                0.40852,                0.40752,                0.29578,                0.52867,                0.26358,                0.39411,                0.30564,               0.043685,               0.028331,                0.00541,               0.048952,              0.0083764,              0.0083764,              0.0083764
                    166,               0.027729,               0.015385,               0.011441,               0.017093,                0.39451,                0.46615,                0.41991,                0.31577,                0.39451,                0.46615,                 0.4153,                0.33338,               0.042808,               0.023015,              0.0051847,               0.051558,              0.0083665,              0.0083665,              0.0083665
                    167,               0.026124,                0.01732,               0.011553,               0.017953,                 0.4574,                0.35745,                0.44122,                0.32478,                0.44788,                0.34852,                0.42766,                0.35368,                0.03999,               0.020443,              0.0056849,               0.052081,              0.0083566,              0.0083566,              0.0083566
                    168,               0.028381,               0.017714,               0.011282,               0.018711,                 0.4196,                0.44582,                0.47853,                0.37684,                 0.4196,                0.44582,                0.47211,                0.38618,               0.036282,               0.020493,              0.0057085,               0.045747,              0.0083467,              0.0083467,              0.0083467
                    169,               0.026758,               0.016775,               0.010373,               0.018797,                0.35201,                0.36486,                0.38021,                0.28425,                0.34648,                0.35593,                0.36415,                 0.2847,                0.03685,               0.021233,              0.0056736,               0.048017,              0.0083368,              0.0083368,              0.0083368
                    170,                0.02712,               0.016943,               0.010799,               0.023029,                0.44791,                0.37449,                0.41309,                0.31537,                0.43597,                0.36556,                0.39254,                0.31029,               0.040188,               0.021433,              0.0051665,               0.048898,              0.0083269,              0.0083269,              0.0083269
                    171,               0.029165,               0.020287,               0.012911,               0.019956,                0.50439,                0.43797,                0.43943,                0.32722,                0.48479,                0.42921,                0.41848,                 0.3172,               0.042085,               0.022191,               0.004998,               0.047996,               0.008317,               0.008317,               0.008317
                    172,               0.028964,               0.015723,               0.012231,               0.019558,                0.49883,                0.40012,                0.34487,                0.25295,                0.47704,                0.39119,                0.32746,                0.23007,                0.04488,                0.02356,              0.0051692,               0.051189,              0.0083071,              0.0083071,              0.0083071
                    173,               0.027327,               0.018476,               0.011115,               0.019437,                0.29451,                  0.425,                0.34786,                 0.2466,                 0.2816,                0.42202,                0.31743,                0.23535,                0.04419,               0.027254,              0.0059595,               0.064119,              0.0082972,              0.0082972,              0.0082972
                    174,               0.028046,                0.02121,               0.011692,               0.018336,                0.51987,                0.44793,                0.44703,                0.33703,                0.52691,                0.45663,                0.44863,                0.33741,               0.040623,               0.023203,              0.0057652,               0.049817,              0.0082873,              0.0082873,              0.0082873
                    175,               0.025731,               0.016062,               0.011971,               0.017553,                0.38643,                0.40756,                0.41189,                0.27639,                0.38643,                0.40756,                 0.4091,                0.31725,               0.041737,               0.023623,              0.0067003,               0.058116,              0.0082774,              0.0082774,              0.0082774
                    176,               0.026081,                0.01654,               0.011813,               0.017813,                0.35648,                0.39435,                0.34164,                0.25393,                 0.3507,                0.38548,                0.32695,                0.25619,               0.041499,               0.023796,              0.0063789,               0.059462,              0.0082675,              0.0082675,              0.0082675
                    177,               0.027129,               0.018069,               0.010967,               0.016203,                0.32501,                0.29595,                0.33093,                0.24017,                0.32501,                0.29595,                0.32931,                0.24376,               0.044213,               0.022435,              0.0060501,               0.059088,              0.0082576,              0.0082576,              0.0082576
                    178,               0.025603,               0.016488,                0.01083,               0.015003,                0.37295,                0.38615,                0.38309,                0.28264,                0.37295,                0.38615,                0.38266,                0.29527,               0.037469,               0.021822,              0.0059056,               0.059291,              0.0082477,              0.0082477,              0.0082477
                    179,               0.026784,               0.016031,               0.011773,               0.019513,                 0.3526,                0.34676,                0.33793,                0.24937,                0.34975,                0.34081,                  0.336,                0.25625,               0.039646,               0.025188,              0.0061209,               0.062869,              0.0082378,              0.0082378,              0.0082378
                    180,               0.027771,               0.017431,               0.012467,               0.017431,                 0.4048,                0.51351,                 0.4181,                0.29653,                 0.4048,                0.51351,                0.41776,                0.31101,               0.039843,               0.024566,              0.0061755,               0.057091,              0.0082279,              0.0082279,              0.0082279
                    181,               0.028755,               0.017234,               0.012752,                0.02203,                0.46573,                0.44908,                0.42253,                0.29395,                0.46827,                0.42666,                0.42363,                0.31647,               0.040463,               0.024932,               0.006424,               0.056738,               0.008218,               0.008218,               0.008218
                    182,               0.025201,               0.017128,               0.011278,               0.014904,                0.47406,                0.39978,                0.37921,                0.27093,                0.49308,                0.41145,                0.38206,                0.28998,               0.041606,               0.020885,              0.0059981,               0.055462,              0.0082081,              0.0082081,              0.0082081
                    183,               0.027996,               0.017311,               0.011138,               0.021271,                0.39679,                0.39444,                0.38857,                0.29433,                0.39679,                0.39444,                0.38876,                0.30836,               0.042582,               0.021044,              0.0060818,               0.052946,              0.0081982,              0.0081982,              0.0081982
                    184,               0.027519,                0.01595,               0.011189,               0.016038,                0.37035,                0.47196,                0.40912,                0.29854,                0.37433,                0.47791,                 0.4119,                0.32097,               0.042343,               0.023822,                0.00612,               0.052295,              0.0081883,              0.0081883,              0.0081883
                    185,               0.028324,               0.017552,               0.011877,                0.01888,                0.40808,                 0.4848,                0.41337,                0.27075,                0.40808,                 0.4848,                0.40808,                0.27342,               0.043021,               0.029167,              0.0064309,               0.058308,              0.0081784,              0.0081784,              0.0081784
                    186,               0.025753,               0.015853,                0.01123,               0.017797,                0.44024,                0.39928,                0.37913,                0.27378,                0.44024,                0.39928,                0.37243,                 0.2605,               0.038439,               0.026734,              0.0060635,               0.056119,              0.0081685,              0.0081685,              0.0081685
                    187,               0.027124,               0.018781,                0.01247,               0.019012,                0.37332,                0.44045,                0.32612,                0.21939,                0.37332,                0.44045,                0.32523,                0.23042,               0.042037,               0.026117,              0.0057456,               0.058191,              0.0081586,              0.0081586,              0.0081586
                    188,               0.028015,               0.017048,               0.012636,                0.01748,                0.54575,                0.44494,                0.42798,                0.28115,                0.54575,                0.44494,                 0.4266,                0.30535,               0.043335,               0.027049,              0.0062475,               0.057817,              0.0081487,              0.0081487,              0.0081487
                    189,               0.025668,               0.015791,               0.011139,               0.015129,                0.39908,                0.52778,                0.38212,                0.25489,                0.42533,                0.52365,                0.37719,                0.24902,               0.040871,               0.026821,              0.0061922,               0.067644,              0.0081388,              0.0081388,              0.0081388
                    190,               0.029173,               0.016889,               0.011715,               0.015606,                0.26068,                0.42054,                0.26066,                0.15259,                0.26709,                0.42029,                0.24947,                0.15643,               0.044848,               0.027652,              0.0072651,               0.069235,              0.0081289,              0.0081289,              0.0081289
                    191,               0.026082,               0.022841,               0.012505,               0.025722,                0.45433,                0.28196,                0.27583,                0.15927,                0.45433,                0.28196,                0.27274,                0.17563,               0.045291,               0.022998,              0.0061808,               0.066148,               0.008119,               0.008119,               0.008119
                    192,               0.027219,               0.015307,               0.011915,               0.013948,                0.30281,                0.38274,                0.31348,                0.22294,                0.30281,                0.38274,                0.31074,                0.22262,               0.037012,               0.023401,               0.006201,               0.064407,              0.0081091,              0.0081091,              0.0081091
                    193,               0.029857,               0.015848,               0.010012,               0.016261,                0.36227,                0.41293,                0.38156,                0.27372,                0.35948,                0.40401,                0.37464,                0.30063,               0.042158,               0.023549,              0.0058053,               0.063713,              0.0080992,              0.0080992,              0.0080992
                    194,               0.027403,               0.018367,               0.011621,               0.017596,                0.39023,                0.45519,                0.44287,                0.32916,                0.38599,                0.44626,                0.42688,                0.33857,               0.039707,               0.024499,              0.0058517,               0.052979,              0.0080893,              0.0080893,              0.0080893
