                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                     24,               0.053184,               0.027712,               0.019311,               0.053211,               0.096887,                 0.5782,                0.15109,               0.071326,               0.094479,                0.56332,                 0.1495,                0.11415,               0.058285,               0.020627,              0.0069122,                0.04939,               0.033224,              0.0072242,              0.0072242
                     25,               0.055058,                0.02331,                0.01701,               0.053849,                  0.119,                0.79643,                0.19231,               0.074724,                0.12205,                0.70972,                0.18969,                0.15183,               0.065586,                0.02007,              0.0057652,               0.049657,               0.030509,              0.0075094,              0.0075094
                     26,               0.051514,               0.023102,               0.018805,               0.052504,               0.089006,                 0.5746,                0.15348,               0.068765,               0.092571,                 0.5746,                0.15638,                0.11921,               0.057647,               0.022125,              0.0067549,               0.048386,               0.027794,              0.0077941,              0.0077941
                     27,               0.051938,               0.022836,               0.018019,               0.051728,                0.10265,                0.29802,                0.16247,               0.072695,               0.098987,                0.29504,                0.15607,                0.12499,               0.066343,               0.024154,              0.0068083,                0.04893,               0.025078,              0.0080781,              0.0080781
                     28,               0.051339,               0.024723,               0.017288,               0.052826,               0.061134,                0.42381,                0.13611,               0.064381,                0.21437,                0.44762,                0.14252,                 0.1034,               0.061362,               0.027459,              0.0072079,               0.048311,               0.022362,              0.0083616,              0.0083616
                     29,               0.051914,               0.021797,               0.016959,               0.052977,                0.20722,                0.53036,                0.14615,               0.083202,                0.20722,                0.53036,                0.14609,                0.11731,               0.065385,               0.021748,              0.0072048,               0.046933,               0.019644,              0.0086445,              0.0086445
                     30,               0.049742,               0.019875,               0.016388,               0.054632,                 0.2353,                0.45119,                0.16082,               0.084885,                0.23451,                 0.4631,                0.16144,                0.12743,               0.055194,               0.025003,              0.0057304,                0.04799,               0.016927,              0.0089268,              0.0089268
                     31,               0.049242,               0.019405,               0.016945,               0.054302,                0.51699,                0.21548,                0.12285,               0.050019,                0.52513,                0.23571,                0.14887,                0.12442,               0.070433,               0.024367,              0.0070965,               0.048738,               0.014208,              0.0092084,              0.0092084
                     32,               0.049702,               0.019985,               0.015075,               0.053683,               0.069812,                0.40893,                0.14611,               0.050914,               0.071231,                0.42083,                0.15021,                0.10432,               0.073431,               0.036751,              0.0079091,               0.049368,                0.01149,              0.0094895,              0.0094895
                     33,               0.050005,               0.024172,               0.017062,               0.051929,                0.12183,                0.50813,                0.17757,               0.091617,                0.12873,                0.45075,                0.18041,                0.13493,               0.057936,               0.027095,              0.0069797,               0.049229,              0.0096733,              0.0096733,              0.0096733
                     34,               0.046301,                0.02105,               0.016193,               0.053421,               0.096295,                0.41468,                0.15491,               0.061485,                0.11191,                0.42837,                0.17083,                0.12629,               0.071775,               0.026562,              0.0081029,               0.049422,              0.0096733,              0.0096733,              0.0096733
                     35,               0.048634,               0.022588,               0.018188,               0.051888,               0.082645,                0.52698,                0.14776,               0.069759,               0.073864,                0.35218,                0.15095,                  0.108,               0.065288,               0.027674,              0.0055146,               0.047552,              0.0096634,              0.0096634,              0.0096634
                     36,                0.04649,               0.027731,               0.016149,               0.052032,               0.058603,                0.44702,                0.14423,               0.058845,               0.057424,                0.43512,                0.14151,               0.092719,               0.063188,               0.035282,              0.0066459,               0.046249,              0.0096535,              0.0096535,              0.0096535
                     37,               0.043693,               0.022758,               0.014867,               0.053288,               0.075632,                0.50079,                 0.1129,               0.054094,               0.076538,                0.49187,                0.11011,               0.072668,               0.055611,               0.036659,              0.0071573,                0.04626,              0.0096436,              0.0096436,              0.0096436
                     38,                0.04419,               0.023952,               0.015805,               0.052079,               0.065061,                0.64988,                0.10245,               0.055739,                0.07802,                0.49204,                 0.1063,               0.071183,               0.057083,               0.034701,              0.0065608,               0.045528,              0.0096337,              0.0096337,              0.0096337
                     39,               0.041196,               0.028059,               0.015072,               0.053551,               0.089456,                 0.5577,                0.15348,               0.071971,               0.086254,                0.53686,                0.14694,               0.095354,               0.059767,               0.043217,              0.0080147,               0.048557,              0.0096238,              0.0096238,              0.0096238
                     40,               0.044497,               0.023357,               0.016024,               0.051914,                 0.0917,                0.51091,                0.15298,               0.083823,               0.092385,                0.51032,                0.15597,                0.10459,               0.067269,               0.038857,              0.0063524,               0.050223,              0.0096139,              0.0096139,              0.0096139
